ï»_ountry Name,Country Code,Series Name,Series Code,1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Afghanistan,AFG,Number of infant deaths,SH.DTH.IMRT,110153,110770,111254,111735,112222,112308,112282,111867,110990,109577,107569,104957,101886,98230,94323,90209,86226,82501,79239,76624,74692,73491,73119,73508,74452,75908,77651,79544,81418,83202,84778,86075,86983,87494,87540,87181,86465,85294,83745,81722,79355,76760,74020,71211,68570,66112,63937,62032,60333,58744
Afghanistan,AFG,"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,125.3,..,..,..,..,..,..,..,..,..,95.8,..,..,..,..,..,..,..,..,..,70,..,..,..,..,58.9,..,55.4
Afghanistan,AFG,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,111.9,..,..,..,..,..,..,..,..,..,84.3,..,..,..,..,..,..,..,..,..,60.9,..,..,..,..,50.7,..,47.4
Afghanistan,AFG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,209.1,205.3,201.3,197.5,193.8,189.7,185.7,181.7,177.6,173.6,169.4,165.1,160.9,156.4,152.2,147.8,143.7,139.5,135.2,131.1,126.9,122.7,118.8,115.1,111.4,108.1,105,102.2,99.5,97,94.7,92.4,90.2,88,85.7,83.4,80.9,78.4,75.8,73.2,70.6,68.1,65.6,63.2,60.9,58.7,56.7,54.9,53.2,51.5
Afghanistan,AFG,Adults (ages 15+) newly infected with HIV,SH.HIV.INCD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Children (0-14) living with HIV,SH.HIV.0014,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Prevalence of HIV, male (% ages 15-24)",SH.HIV.1524.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Prevalence of HIV, female (% ages 15-24)",SH.HIV.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Population, total",SP.POP.TOTL,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457
Albania,ALB,Rural population,SP.RUR.TOTL,1386348,1424962,1457678,1489206,1522477,1554419,1585958,1618163,1649474,1681437,1711648,1740858,1769877,1798543,1829633,1861315,1893194,1924635,1954134,1985256,2014614,2060783,2089320,2067878,2037549,2007405,1977318,1947385,1917515,1887867,1858316,1828925,1799636,1761589,1723790,1684768,1645111,1604189,1561661,1517619,1473922,1432259,1393502,1358266,1324613,1291587,1258985,1226200,1195854,1167112
Albania,ALB,International migrant stock (% of population),SM.POP.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.011700305,..,..,..,..,2.296757971,..,..,..,..,2.456625875,..,..,..,..,2.100434369,..,..,..,..,1.818956864,..,..,..,..,1.98903641,..,..
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,0.011168695,0.032196828,0.048593919,0.06502737,0.081437045,0.114097347,0.325798377,0.390081273,0.971900415,2.420387798,6.043890864,9.609991316,15.03611541,23.86,41.2,45,49,54.65595904,57.2,60.1,63.2529327,66.3634447,..
Albania,ALB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.23526734,45.1088353,46.96694783,48.82130378,50.67153528,52.51718209,54.35792086,56.19335844,58.02310323,59.8466761,61.66382861,63.47411244,65.27720509,67.07239399,68.85950421,68.86997943,..,..
Albania,ALB,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.5,..,..,..,..,..,54.1,..,..,42.6,..,..,35.8,..,..,..,39.1,..,..,..,..,..
Albania,ALB,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.9,..,..,..,..,..,17,..,..,10.9,..,..,6.5,..,..,..,7.7,..,..,..,..,..
Albania,ALB,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.1,..,..,..,..,..,2,..,..,1.1,..,..,0.4,..,..,..,1.1,..,..,..,..,..
Albania,ALB,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.4,..,..,18.5,..,..,12.4,..,..,..,14.3,..,..,..,..,..
Albania,ALB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,2110.633218,2187.642806,2205.052944,2182.631918,2110.441428,2104.308584,2180.372091,2120.422839,2051.24357,2193.263825,1947.883545,1379.816978,1288.258965,1420.573288,1547.954353,1764.699296,1937.290072,1738.16646,1906.717261,2177.896633,2337.942386,2547.377316,2663.140477,2827.455778,3001.408618,3189.395111,3383.893726,3610.727554,3775.380988,3928.338638,4094.358832,4210.082199,4276.92155,4327.644518,4413.561583,4524.644432,4683.800213,4868.197347
Albania,ALB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,5639605626,5963636797,6139480401,6207317869,6129627287,6238774125,6590468994,6538546468,6445696515,7079730610,6401801081,4507572307,4183027101,4584597705,4965119313,5625480182,6137398879,5472236442,5965222154,6770597139,7221967156,7795415283,8125268227,8594379821,9085080801,9604821915,10126461017,10723922217,11127233241,11500286002,11926953259,12231109753,12404787541,12528929023,12751238423,13034156788,13471082475,13988555743
Albania,ALB,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92.02439117,..,..,..,97.07321167,96.88066101,..,94.90242767,93.87088013,..,..,96.62909698,92.83022308,91.51228333,89.23734283,93.27700806,98.91169739,90.97441101,105.002121,104.4681931,105.6041031,..
Albania,ALB,Number of infant deaths,SH.DTH.IMRT,..,..,..,..,..,..,..,..,..,..,..,4934,4619,4340,4105,3897,3715,3539,3374,3216,3062,2906,2752,2592,2429,2265,2094,1924,1754,1587,1427,1278,1137,1010,895,792,700,619,550,492,445,407,375,351,331,314,301,289,279,270
Albania,ALB,"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.9,..,..,..,..,..,..,..,..,..,23.7,..,..,..,..,..,..,..,..,..,11.6,..,..,..,..,8.9,..,8.4
Albania,ALB,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.6,..,..,..,..,..,..,..,..,..,19.7,..,..,..,..,..,..,..,..,..,9.8,..,..,..,..,7.7,..,7.2
Albania,ALB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..,..,..,..,..,..,..,..,..,..,75.7,70.2,65,60.3,56.1,52.3,48.9,45.7,42.9,40.5,38.3,36.4,34.8,33.4,32.1,30.9,29.7,28.5,27.2,25.9,24.5,23.2,21.8,20.4,19.1,17.8,16.6,15.4,14.3,13.3,12.3,11.5,10.7,10.1,9.5,9,8.6,8.3,8.1,7.8
Albania,ALB,Adults (ages 15+) newly infected with HIV,SH.HIV.INCD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,100,100,100
Albania,ALB,Children (0-14) living with HIV,SH.HIV.0014,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Albania,ALB,"Prevalence of HIV, male (% ages 15-24)",SH.HIV.1524.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Albania,ALB,"Prevalence of HIV, female (% ages 15-24)",SH.HIV.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Algeria,DZA,"Population, total",SP.POP.TOTL,13744387,14144438,14550034,14960109,15377093,15804428,16247113,16709099,17190239,17690184,18212326,18760761,19337715,19943664,20575701,21228289,21893853,22565905,23241272,23917897,24591492,25257672,25912367,26554329,27181094,27786259,28362253,28904298,29411415,29886839,30335732,30765613,31183660,31592153,31995046,32403514,32831096,33288437,33777915,34300076,34860715,35465760,36117637,36819558,37565847,38338562,39113313,39871528,40606052,41318142
Algeria,DZA,Rural population,SP.RUR.TOTL,8360848,8580865,8802771,9026182,9252243,9483131,9721785,9970319,10228708,10449945,10600666,10756482,10917687,11084688,11254291,11423155,11586446,11741492,11885587,12025440,12170083,12300991,12415911,12514790,12596534,12659697,12700901,12718758,12713378,12688756,12646057,12577598,12498723,12411925,12317773,12221309,12127479,12040428,11959746,11885662,11818828,11765411,11723785,11695364,11677344,11664124,11647553,11623348,11589373,11547594
Algeria,DZA,International migrant stock (% of population),SM.POP.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.057232756,..,..,..,..,0.906550236,..,..,..,..,0.802054717,..,..,..,..,0.744071903,..,..,..,..,0.67977278,..,..,..,..,0.611072023,..,..
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.27137756,98.37776947,98.48365784,98.58647919,98.68318939,98.77071381,98.8460083,98.90600586,98.94764709,98.96788025,98.96515656,98.94402313,98.91053772,98.87077332,98.83078766,98.79664612,98.77441406,98.7701416,99.3,98.82767487,98.88497162,98.95729828,98.76466047,99.13498688,99.23434448,99.33670807,99.43956757,..
Algeria,DZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,0.000360674,0.001768954,0.001738533,0.010268463,0.020238555,0.199523843,0.491705679,0.646114017,1.59164126,2.195359731,4.634475088,5.843942092,7.375984956,9.451190626,10.18,11.23,12.5,14.9,18.2,22.5,29.5,38.2,42.94552688,..
Algeria,DZA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57.8,..,..,..,..,..,..,55.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.2,..,..,..,..,..,..
Algeria,DZA,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25,..,..,..,..,..,..,24.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.9,..,..,..,..,..,..
Algeria,DZA,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.5,..,..,..,..,..,..,5.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..
Algeria,DZA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.5,..,..,..,..,..,..
Algeria,DZA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2414.016695,2543.563265,2691.802317,2321.350402,2877.745265,2906.700502,3039.420571,3104.493573,3270.680356,3345.378017,3548.900065,3702.77745,3620.703537,3616.016313,3729.257178,3809.803763,3900.85048,3924.709271,3825.904018,3691.647555,3554.62274,3613.146593,3550.032672,3422.638618,3403.903452,3259.84368,3164.898577,3223.55756,3297.863375,3281.102139,3397.410198,3457.137046,3541.072037,3600.437254,3754.516275,3974.175032,4091.144235,4273.312751,4282.328231,4359.375748,4390.499633,4386.038896,4463.394675,4504.920098,4564.435017,4596.219627,4675.885024,4759.595242,4827.724251,4825.178585
Algeria,DZA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,33179179684,35977272902,39165815236,34727655044,44251356564,45938738804,49381809471,51873290453,56223777004,59180352663,64633724928,69466922771,70016133107,72116614360,76732080648,80875615322,85404646974,88564616568,88918875922,88296445990,87413476683,91259671545,91989749447,90885871916,92521819702,90578860786,89763654165,93174668346,96994828322,98061771374,1.03063E+11,1.06361E+11,1.10424E+11,1.13746E+11,1.20126E+11,1.28777E+11,1.34317E+11,1.42252E+11,1.44648E+11,1.49527E+11,1.53056E+11,1.55554E+11,1.61207E+11,1.65869E+11,1.71467E+11,1.76212E+11,1.82889E+11,1.89772E+11,1.96035E+11,1.99367E+11
Algeria,DZA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,..,..,..,41.31341934,43.27804184,45.64691925,51.24160004,57.37762833,60.53847122,63.15657043,63.01560974,62.53660965,66.4061203,67.80983734,70.23853302,74.53523254,87.99755859,72.28838348,74.22572327,75.24167633,78.11444092,77.01406097,76.18299866,79.4176712,79.18177032,78.42749786,79.89765167,83.04563141,83.28283691,..,82.35019684,79.73745728,85.92340851,87.8434906,89.60121918,91.33145142,93.18502808,83.74855804,94.48725891,113.036438,91.83434296,95.53891754,97.56832123,101.4501801,105.9131699,108.2808533,105.4364166,105.4468765,..
Algeria,DZA,Number of infant deaths,SH.DTH.IMRT,93554,94968,95985,96724,97122,97073,96520,95543,94132,92329,89992,87084,83261,78263,71991,64711,57266,50548,45159,41204,38356,36353,34809,33434,31999,30438,28714,26971,25309,23812,22524,21503,20740,20172,19775,19531,19438,19483,19645,19897,20174,20444,20669,20844,20950,20928,20727,20332,19751,19026
Algeria,DZA,"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.5,..,..,..,..,..,..,..,..,..,36.6,..,..,..,..,..,..,..,..,..,25,..,..,..,..,22.8,..,22
Algeria,DZA,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38,..,..,..,..,..,..,..,..,..,31.1,..,..,..,..,..,..,..,..,..,22,..,..,..,..,20,..,19.1
Algeria,DZA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,148.2,147.1,145.3,142.9,139.9,136.3,132.2,127.8,123.1,118.3,113.2,107.7,101.6,94.4,86,76.7,67.4,59.3,52.9,48.4,45.2,43.2,41.8,40.9,40,39.1,38.1,37.2,36.3,35.5,34.9,34.4,33.9,33.3,32.4,31.3,30.1,28.8,27.5,26.4,25.3,24.3,23.5,22.9,22.4,22.1,21.8,21.4,21,20.6
Algeria,DZA,Adults (ages 15+) newly infected with HIV,SH.HIV.INCD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,200,200,200,200,200,500,500,500,500,500,500,500,500,540,600,650,710,760,820,870,920,970,1000,1100,1100,1100,1200
Algeria,DZA,Children (0-14) living with HIV,SH.HIV.0014,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,500,500,500,500
Algeria,DZA,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Algeria,DZA,"Prevalence of HIV, male (% ages 15-24)",SH.HIV.1524.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Algeria,DZA,"Prevalence of HIV, female (% ages 15-24)",SH.HIV.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
American Samoa,ASM,"Population, total",SP.POP.TOTL,25885,26614,27292,27916,28492,29014,29488,29932,30321,30689,31102,31673,32457,33493,34738,36160,37688,39241,40837,42450,44047,45593,47038,48375,49593,50720,51803,52868,53929,54941,55901,56770,57521,58175,58731,59117,59264,59118,58650,57903,57030,56227,55637,55320,55230,55307,55437,55537,55599,55641
American Samoa,ASM,Rural population,SP.RUR.TOTL,7876,7990,8083,8156,8211,8247,8266,8275,8266,8249,8243,8276,8332,8359,8426,8523,8629,8726,8818,8898,8960,8999,8962,8763,8535,8291,8037,7782,7527,7268,7006,6738,6565,6695,6816,6918,6994,7035,7038,7006,6958,6918,6902,6914,6948,6997,7047,7088,7118,7139
American Samoa,ASM,International migrant stock (% of population),SM.POP.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.2406258,..,..,..,..,43.68498695,..,..,..,..,43.30864713,..,..,..,..,40.99159294,..,..,..,..,42.33769502,..,..,..,..,41.80200943,..,..
American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
